Name,City,State,Type,Established,Latitude,Longitude
Indian Museum,Kolkata,West Bengal,General/Natural History,1814-02-02,22.557886,88.351127
Victoria Memorial,Kolkata,West Bengal,Art/History,1921,22.5449,88.3425
National Museum,New Delhi,Delhi,General,1949-08-15,28.611811,77.219261
National Gallery of Modern Art,New Delhi,Delhi,Modern Art,1954,28.60964,77.23424
Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Mumbai,Maharashtra,Art & Culture,1920s,18.92686,72.83263
Salar Jung Museum,Hyderabad,Telangana,Art,1951-12-16,17.37135,78.48056
Government Museum,Chennai,Tamil Nadu,General,1851,13.0714,80.2565
National Museum of Indian Cinema,Mumbai,Maharashtra,Film museum,2019-01-19,18.9279,72.8284
Nehru Science Centre,Mumbai,Maharashtra,Science,1985,18.9908,72.81861
Goa Chitra Museum,Benaulim,Goa,Ethnographic,2009,15.2647,73.94161
Government Museum,Bengaluru,Karnataka,Archaeology,1865-08-18,,
Government Museum,Chennai,Tamil Nadu,Art & History,1851,13.0714,80.2565
Albert Hall Museum,Jaipur,Rajasthan,Art/History,1887,26.91179,75.81953
Kerala Museum,Ernakulam,Kerala,Art/History,2015,10.03814,76.31434
Bihar Museum,Patna,Bihar,History,2015,25.60810,85.12100
House of Jagat Seth Museum,Murshidabad,West Bengal,Biography,—,24.20922,88.26216
Dr MGR Memorial House,Chennai,Tamil Nadu,Biography,—,13.0714,80.2565
Godly Museum,Mysore,Karnataka,Religion,—,12.27539,76.67096
Vishwam Museum,Mysore,Karnataka,Specialized,—,12.29581,76.63938
Regional Museum of Natural History,Mysore,Karnataka,Natural History,—,12.30300,76.67400
Ram Gauri Sangrahalay,Gangtok,Sikkim,Anthropology,—,27.17662,88.64320
Jehangir Art Gallery,Mumbai,Maharashtra,Art Gallery,—,18.92602,72.83180
Kiran Nadar Museum of Art (New Delhi),New Delhi,Delhi,Contemporary Art,—,28.52860,77.21250
Kiran Nadar Museum of Art (Noida),Noida,Uttar Pradesh,Contemporary Art,—,28.57100,77.32100
