District,Month,Visitors,Year
Adilabad,January,5,2014
Adilabad,February,6,2014
Adilabad,March,5,2014
Adilabad,April,6,2014
Adilabad,May,6,2014
Adilabad,June,7,2014
Adilabad,July,7,2014
Adilabad,August,5,2014
Adilabad,September,8,2014
Adilabad,October,8,2014
Adilabad,November,8,2014
Adilabad,December,9,2014
Hyd & R R Dist.,January,7587,2014
Hyd & R R Dist.,February,7871,2014
Hyd & R R Dist.,March,7683,2014
Hyd & R R Dist.,April,3314,2014
Hyd & R R Dist.,May,1962,2014
Hyd & R R Dist.,June,2767,2014
Hyd & R R Dist.,July,5931,2014
Hyd & R R Dist.,August,3759,2014
Hyd & R R Dist.,September,4258,2014
Hyd & R R Dist.,October,7836,2014
Hyd & R R Dist.,November,4826,2014
Hyd & R R Dist.,December,12257,2014
Karimnagar,January,0,2014
Karimnagar,February,0,2014
Karimnagar,March,0,2014
Karimnagar,April,0,2014
Karimnagar,May,0,2014
Karimnagar,June,0,2014
Karimnagar,July,0,2014
Karimnagar,August,0,2014
Karimnagar,September,0,2014
Karimnagar,October,0,2014
Karimnagar,November,0,2014
Karimnagar,December,0,2014
Khammam,January,0,2014
Khammam,February,0,2014
Khammam,March,0,2014
Khammam,April,0,2014
Khammam,May,0,2014
Khammam,June,0,2014
Khammam,July,0,2014
Khammam,August,0,2014
Khammam,September,0,2014
Khammam,October,0,2014
Khammam,November,0,2014
Khammam,December,0,2014
Mahbubnagar,January,210,2014
Mahbubnagar,February,160,2014
Mahbubnagar,March,424,2014
Mahbubnagar,April,311,2014
Mahbubnagar,May,270,2014
Mahbubnagar,June,223,2014
Mahbubnagar,July,175,2014
Mahbubnagar,August,94,2014
Mahbubnagar,September,69,2014
Mahbubnagar,October,177,2014
Mahbubnagar,November,326,2014
Mahbubnagar,December,350,2014
Medak,January,0,2014
Medak,February,0,2014
Medak,March,0,2014
Medak,April,0,2014
Medak,May,0,2014
Medak,June,0,2014
Medak,July,0,2014
Medak,August,0,2014
Medak,September,0,2014
Medak,October,0,2014
Medak,November,0,2014
Medak,December,0,2014
Nalgonda,January,10,2014
Nalgonda,February,0,2014
Nalgonda,March,0,2014
Nalgonda,April,0,2014
Nalgonda,May,0,2014
Nalgonda,June,0,2014
Nalgonda,July,0,2014
Nalgonda,August,0,2014
Nalgonda,September,0,2014
Nalgonda,October,0,2014
Nalgonda,November,0,2014
Nalgonda,December,0,2014
Nizamabad,January,3,2014
Nizamabad,February,0,2014
Nizamabad,March,0,2014
Nizamabad,April,0,2014
Nizamabad,May,0,2014
Nizamabad,June,0,2014
Nizamabad,July,0,2014
Nizamabad,August,0,2014
Nizamabad,September,0,2014
Nizamabad,October,0,2014
Nizamabad,November,0,2014
Nizamabad,December,0,2014
Warangal,January,469,2014
Warangal,February,180,2014
Warangal,March,158,2014
Warangal,April,104,2014
Warangal,May,15,2014
Warangal,June,175,2014
Warangal,July,232,2014
Warangal,August,128,2014
Warangal,September,96,2014
